topology_case,policy,episodes,mean_total_reward_mean,std_total_reward_mean,mean_total_reward_team,std_total_reward_team,mean_energy_cost,mean_grid_import_mwh,mean_curtailment_mwh,mean_throughput_mwh,mean_voltage_deviation,worst_min_voltage_pu,worst_max_voltage_pu,worst_line_current_pu,worst_voltage_violation,worst_line_current_violation,mean_infeasible_requested_count,mean_feasible_rate,mean_converged_rate,model,seed_run,source_folder
TP4,mlp_maddpg,31,-830.7165075295635,344.6804071552343,-4153.582537647818,1723.4020357761715,611.5414513753342,15.347602839958958,5.831126304977549,3.521790549243717,0.2555336882310208,0.969148337841034,1.0081830024719238,1.6663265228271484,0.0,0.0,0.0,1.0,1.0,mlp,run_1,mlp_ieee33_tp_full_eval_run1_best
TP5,mlp_maddpg,31,-864.3692845029457,353.7780990998913,-4321.846422514728,1768.8904954994566,618.5701747184104,15.527605259842296,5.860867021066189,3.5076872252000486,0.3896776060824112,0.9486038684844972,1.007141351699829,1.6356230974197388,0.0013961364831814,0.0,0.3870967741935484,0.9973118279569892,1.0,mlp,run_1,mlp_ieee33_tp_full_eval_run1_best
TP6,mlp_maddpg,31,-931.1888894990328,406.5863660328501,-4655.944447495163,2032.9318301642495,619.8635724878934,15.560041268671338,5.850899034817987,3.4453074954037857,0.4464027434988047,0.9447911977767944,1.0043623447418213,1.5900484323501587,0.0052088175934829,0.0,3.290322580645161,0.984543010752688,1.0,mlp,run_1,mlp_ieee33_tp_full_eval_run1_best
TP7,mlp_maddpg,31,-847.6853177939212,350.17237259493146,-4238.426588969605,1750.8618629746577,616.5348585333218,15.472736802216504,5.852287610875724,3.517144228589769,0.3393614496034319,0.9533769488334656,1.0092331171035769,1.6934435367584229,0.0,0.0,0.0,1.0,1.0,mlp,run_1,mlp_ieee33_tp_full_eval_run1_best
TP1,mlp_maddpg,31,-837.7923824191183,360.84072009756727,-4188.961912095592,1804.2036004878369,600.6260853957125,15.08663173761295,5.411357436219606,4.130813136298259,0.3971007731693086,0.950028657913208,1.0034325122833252,1.6568703651428225,0.0,0.0,0.1935483870967742,1.0,1.0,mlp,run_2,mlp_ieee33_tp_full_eval_run2_best
TP2,mlp_maddpg,31,-816.620730683793,354.9165937991809,-4083.1036534189648,1774.5829689959044,597.0383728303616,14.986317300211804,5.399865993609349,4.053320259026063,0.295927531476463,0.957215130329132,1.0028691291809082,1.695482611656189,0.0,0.0,0.0,1.0,1.0,mlp,run_2,mlp_ieee33_tp_full_eval_run2_best
TP3,mlp_maddpg,31,-830.1400096096128,358.8849800342629,-4150.700048048065,1794.424900171315,599.9405628646724,15.065522019226297,5.411642319078643,4.116272551173237,0.3739434837573959,0.9561290144920348,1.0036072731018066,1.7212095260620115,0.0,0.0,0.0,1.0,1.0,mlp,run_2,mlp_ieee33_tp_full_eval_run2_best
TP4,mlp_maddpg,31,-808.5149645036026,352.48892560020914,-4042.574822518013,1762.4446280010454,595.2643723145312,14.938302796776702,5.395341178178125,4.019104763868119,0.2494999604119408,0.967643678188324,1.0052707195281982,1.6855071783065796,0.0,0.0,0.0,1.0,1.0,mlp,run_2,mlp_ieee33_tp_full_eval_run2_best
TP5,mlp_maddpg,31,-866.0358863210847,403.2983997382729,-4330.179431605423,2016.4919986913649,599.2241927518037,15.048209410149692,5.402562433361523,4.037683812610749,0.3796287962706178,0.9486038684844972,1.0140092372894287,1.5846452713012695,0.0013961364831814,0.0,1.8064516129032255,0.9973118279569892,1.0,mlp,run_2,mlp_ieee33_tp_full_eval_run2_best
TP6,mlp_maddpg,31,-954.0484887148584,484.5416342966722,-4770.242443574292,2422.708171483362,600.497548755302,15.081043852690248,5.402988904701411,3.9526791603042857,0.4357273682991984,0.9447911977767944,1.0078871250152588,1.5900484323501587,0.0052088175934829,0.0,5.774193548387097,0.984543010752688,1.0,mlp,run_2,mlp_ieee33_tp_full_eval_run2_best
